case_id,status,num_boundary_files,export_txt,saved_mph,time_seconds,message
027,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_027.txt,,23.77,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
028,OK,10,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_028.txt,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_028.mph,8.47,完成；domain_action=OK；当前 mat2/spf 域选择正确，无需修正; read_mode=api
029,OK,9,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_029.txt,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_029.mph,11.22,完成；domain_action=OK；当前 mat2/spf 域选择正确，无需修正; read_mode=api
030,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_030.txt,,23.58,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
031,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_031.txt,,18.20,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
032,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_032.txt,,21.75,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
033,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_033.txt,,41.82,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
034,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_034.txt,,33.93,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
035,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_035.txt,,32.72,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
036,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_036.txt,,27.00,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
037,OK,3,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_037.txt,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_037.mph,10.54,完成；domain_action=OK；当前 mat2/spf 域选择正确，无需修正; read_mode=api
038,FAILED,0,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_038.txt,,27.12,"Exception:
	com.comsol.util.exceptions.FlException: The following feature has encountered a problem
Messages:
	以下特征遇到问题：
	- 特征: 稳态求解器 1 (sol1/s1)

	找不到解。

	达到最大分离式迭代次数。

	返回的解不收敛。

	没有返回所有参数步长。
"
039,OK,6,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\模型结构导入comsol仿真温度场_039.txt,D:\Diff_Topo\开源\topodiff-Evaluate\1564dataset\3批量导入comsol再仿真\再仿真温度场\mph\模型结构导入comsol再仿真_039.mph,9.02,完成；domain_action=OK；当前 mat2/spf 域选择正确，无需修正; read_mode=api
